"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","B73/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHN82",0.818,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG119/CG108",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG44/CGR01",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/H95",0.8,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/OH43",0.976,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","2369/LH123HT",0.739,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/H95",0.824,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/MO17",0.867,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/OH43",0.65,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/H95",0.772,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/MO17",0.677,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/OH43",0.634,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/MO17",0.8,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG119/CG108",0.724,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/H95",0.733,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/MO17",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/OH43",0.634,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","LH74/PHN82",0.706,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHG39/PHN82",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHN82",0.545,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","2369/LH123HT",0.913,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/H95",0.824,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B14A/OH43",0.85,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/H95",0.772,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/MO17",0.742,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B37/OH43",0.829,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/MO17",0.8,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","B73/PHN82",0.818,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","CG119/CG108",0.655,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","CG44/CGR01",0.773,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/H95",0.667,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/MO17",0.833,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","F42/OH43",0.78,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","LH74/PHN82",0.824,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHG39/PHN82",0.6,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHW52/PHM49",0.765,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","PHW52/PHN82",0.727,TRUE,"d__Bacteria; p__Firmicutes"
"Phylum","2369/LH123HT",0.522,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/H95",0.353,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/MO17",0.533,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B14A/OH43",0.4,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/H95",0.474,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/MO17",0.516,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B37/OH43",0.39,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/MO17",0.4,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/PHM49",0.25,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","B73/PHN82",0.727,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","CG119/CG108",0.345,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/H95",0.533,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/MO17",0.167,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","F42/OH43",0.366,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","LH74/PHN82",0.353,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHG39/PHN82",0.467,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHW52/PHM49",0.412,FALSE,"d__Bacteria; p__Myxococcota"
"Phylum","PHW52/PHN82",0.636,TRUE,"d__Bacteria; p__Myxococcota"
"Phylum","2369/LH123HT",0.783,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/H95",0.588,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/MO17",1,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B14A/OH43",0.55,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/H95",0.737,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/MO17",0.548,FALSE,"d__Bacteria; p__Planctomycetota"
"Phylum","B37/OH43",0.659,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/MO17",0.733,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","B73/PHN82",0.818,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","CG119/CG108",0.793,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","CG44/CGR01",0.636,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/H95",0.733,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/MO17",0.75,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","F42/OH43",0.78,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","LH74/PHN82",0.824,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHG39/PHN82",0.6,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHW52/PHM49",0.706,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","PHW52/PHN82",0.818,TRUE,"d__Bacteria; p__Planctomycetota"
"Phylum","2369/LH123HT",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B14A/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B37/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B73/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B73/PHM49",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","CG119/CG108",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","CG44/CGR01",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHW52/PHM49",0.941,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","2369/LH123HT",0.565,FALSE,"d__Bacteria; p__Verrucomicrobiota"
