Feature ID	Domain 	Phylum	Class 	Order 	Family 	Genus	Species	Confidence
87c8e2d98a2d5eb605a532b6b00112aa	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
735e3545c1526447b088dd9ce7842d6a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999996
ecc7a8206dd7a4a66cfaf0b09acd71e2	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
4c83ce48ef666ee981c70a6bb33292ea	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999994
0a6e03e69dbd3c81eb63336a91ffae7d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
1219d9a389dcd19c0eeba9ede311cb6e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999998
65d0b81c056fcba359e2e73d29c0a461	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
1268c9bfd120fad6b9e450cd777abc68	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
fe20c84227182eed9f0eb222a21b8353	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999995
53c31a0df9d0a52010173d82f707644e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
068cf6c1be063f326a30e270ae39254a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
7bc19552222d685d0c0333cab73885dd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
ae250425ff4aaae8bad43375281c0bd3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
59fde3e730d4809f10cccb8a9ea4d68b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
6a3ddf9d3df418be60027480cb4c64f8	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
156817fc592e0e55e7f56704fa1a58b4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
7f94eb05e5b8d6934cba75b259736ae4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999999
033788d1176ff7948140f0f69984595e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999996
597843d92ed47ae61ddda42991e8420d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
6d70675520ab91d166d20a5120feff5d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
edca5825579a265b6045840bf23131cd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
71f24827fac6b3ed3eba9a7cdee97738	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999996
5b4bbc228d73e64f13d065a79fb42530	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
ff3de302329f200bc078c92e3684fa31	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
c7a08a850f2a1772a53870680c1e6b30	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999993
15dd71863050b7cb30e1fa62b68246da	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1.00000000000001
f6a4bbdacc45aa2dba7f3b45b87030e1	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999997
8ea444149da91ec7c0708de60fb583eb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999994
c2815c078e66d7817003557d929078fd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		1
90fb6cedb3f72cb9adfc640cc1a9b60d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998768779677178
