pathway	description	GAH2-1-108	GAH2-1-132	GAH2-1-135	GAH2-1-170	GAH2-1-184	GAH2-1-206	GAH2-1-220	GAH2-1-226	GAH2-1-46	GAH2-1-52	GAH2-1-6	GAH2-1-83	GAH2-1-86	GAH2-1-98	GAH2-2-268	GAH2-2-293	GAH2-2-299	GAH2-2-376	GAH2-2-379	GAH2-2-383	GAH2-2-410	GAH2-2-441	GAH2-2-458	GAH2-2-461	GAH2-2-472	IAH2-1-148	IAH2-1-160	IAH2-1-207	IAH2-1-230	IAH2-1-238	IAH2-1-27	IAH2-1-321	IAH2-1-345	IAH2-1-349	IAH2-1-378	IAH2-1-379	IAH2-1-424	IAH2-1-431	IAH2-1-44	IAH2-1-452	IAH2-1-5	IAH2-1-85	IAH2-2-542	IAH2-2-562	IAH2-2-570	IAH2-2-625	IAH2-2-633	IAH2-2-638	IAH2-2-640	IAH2-2-693	IAH2-2-739	IAH2-2-742	IAH2-2-777	IAH2-2-788	IAH2-2-804	IAH2-2-843	IAH2-2-871	IAH2-2-907	IAH2-2-921	IAH4-1-102	IAH4-1-125	IAH4-1-176	IAH4-1-249	IAH4-1-337	IAH4-1-353	IAH4-1-356	IAH4-1-366	IAH4-1-369	IAH4-1-459	IAH4-1-462	IAH4-1-49	IAH4-1-513	IAH4-1-543	IAH4-1-57	IAH4-1-582	IAH4-1-588	IAH4-1-663	IAH4-1-716	IAH4-1-723	IAH4-1-752	IAH4-1-755	IAH4-1-764	IAH4-1-787	IAH4-1-82	IAH4-2-1016	IAH4-2-1032	IAH4-2-1044	IAH4-2-1061	IAH4-2-1067	IAH4-2-1068	IAH4-2-1082	IAH4-2-1088	IAH4-2-1153	IAH4-2-1174	IAH4-2-1187	IAH4-2-1218	IAH4-2-1220	IAH4-2-1290	IAH4-2-1336	IAH4-2-1378	IAH4-2-1390	IAH4-2-1401	IAH4-2-1405	IAH4-2-1409	IAH4-2-1414	IAH4-2-1444	IAH4-2-1460	IAH4-2-1494	IAH4-2-1498	IAH4-2-1516	IAH4-2-1526	IAH4-2-1534	IAH4-2-1536	IAH4-2-1570	IAH4-2-802	IAH4-2-821	IAH4-2-848	IAH4-2-854	IAH4-2-941	IAH4-2-942	INH1-1-17	INH1-1-172	INH1-1-26	INH1-1-58	INH1-1-66	INH1-1-97	INH1-2-260	INH1-2-265	INH1-2-301	INH1-2-428	INH1-2-430	INH1-2-445	MNH1-1-140	MNH1-1-175	MNH1-1-185	MNH1-1-189	MNH1-1-221	MNH1-1-259	MNH1-1-274	MNH1-1-286	MNH1-1-345	MNH1-1-347	MNH1-1-353	MNH1-1-460	MNH1-1-475	MNH1-1-476	MNH1-1-491	MNH1-1-514	MNH1-1-54	MNH1-1-552	MNH1-1-573	MNH1-1-632	MNH1-1-635	MNH1-1-642	MNH1-1-695	MNH1-1-699	MNH1-1-701	MNH1-1-74	MNH1-1-758	MNH1-1-769	MNH1-1-85	MNH1-1-86	MNH1-1-94	MNH1-2-1017	MNH1-2-1039	MNH1-2-1136	MNH1-2-1139	MNH1-2-1143	MNH1-2-1157	MNH1-2-1187	MNH1-2-1276	MNH1-2-1298	MNH1-2-1305	MNH1-2-1307	MNH1-2-1319	MNH1-2-1323	MNH1-2-1343	MNH1-2-1413	MNH1-2-1427	MNH1-2-1464	MNH1-2-1479	MNH1-2-1489	MNH1-2-1518	MNH1-2-1521	MNH1-2-1590	MNH1-2-847	MNH1-2-856	MNH1-2-919	MNH1-2-959	MNH1-2-992	MOH1-1-118	MOH1-1-149	MOH1-1-186	MOH1-1-206	MOH1-1-268	MOH1-1-277	MOH1-1-285	MOH1-1-303	MOH1-1-31	MOH1-1-344	MOH1-1-357	MOH1-1-367	MOH1-1-4	MOH1-1-58	MOH1-1-91	MOH1-2-1005	MOH1-2-1021	MOH1-2-1037	MOH1-2-1115	MOH1-2-1154	MOH1-2-1188	MOH1-2-1197	MOH1-2-803	MOH1-2-823	MOH1-2-886	NCH1-1-150	NCH1-1-155	NCH1-1-171	NCH1-1-200	NCH1-1-219	NCH1-1-230	NCH1-1-249	NCH1-1-250	NCH1-1-276	NCH1-1-278	NCH1-1-288	NCH1-1-298	NCH1-1-382	NCH1-1-388	NCH1-1-395	NCH1-1-428	NCH1-1-43	NCH1-1-437	NCH1-1-45	NCH1-1-456	NCH1-1-457	NCH1-1-487	NCH1-1-50	NCH1-1-96	NCH1-2-848	NCH1-2-859	NCH1-2-862	NCH1-2-874	NCH1-2-896	NCH1-2-898	NCH1-2-906	NCH1-2-961	NCH1-2-968	NCH1-2-975	NCH1-2-989	NEH1-1-125	NEH1-1-135	NEH1-1-145	NEH1-1-149	NEH1-1-16	NEH1-1-184	NEH1-1-198	NEH1-1-28	NEH1-1-35	NEH1-1-53	NEH1-1-72	NEH1-1-79	NEH1-1-85	NEH1-1-89	NEH1-2-210	NEH1-2-220	NEH1-2-231	NEH1-2-233	NEH1-2-248	NEH1-2-279	NEH1-2-300	NEH1-2-314	NEH1-2-346	NEH1-2-347	NEH1-2-355	NEH1-2-372	NEH1-2-381	NEH2-1-106	NEH2-1-167-1	NEH2-1-174-1	NEH2-1-198-1	NEH2-1-2	NEH2-1-27	NEH2-1-48	NEH2-1-89	NEH2-1-93	NEH2-2-251	NEH2-2-258	NEH2-2-261	NEH2-2-266	NEH2-2-290	NEH2-2-331	NEH2-2-345	NEH2-2-360	NEH2-2-392	OHH1-1-1	OHH1-1-118	OHH1-1-12	OHH1-1-171	OHH1-1-181	OHH1-1-19	OHH1-1-226	OHH1-1-78	OHH1-1-9	OHH1-2-252	OHH1-2-308	OHH1-2-343	OHH1-2-408	OHH1-2-419	SCH1-1-107	SCH1-1-110	SCH1-1-115	SCH1-1-13	SCH1-1-156	SCH1-1-157	SCH1-1-162	SCH1-1-170	SCH1-1-188	SCH1-1-207	SCH1-1-211	SCH1-1-23	SCH1-1-250	SCH1-1-52	SCH1-1-54	SCH1-1-73	SCH1-1-78	SCH1-1-90	SCH1-1-96	SCH1-2-272	SCH1-2-287	SCH1-2-293	SCH1-2-298	SCH1-2-300	SCH1-2-305	SCH1-2-328	SCH1-2-344	SCH1-2-345	SCH1-2-373	SCH1-2-396	SCH1-2-418	SCH1-2-431	SCH1-2-459	SCH1-2-460	SCH1-2-464	SCH1-2-471	SCH1-2-480	SCH1-2-486
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	1934.353	4273.4544	5431.4516	5411.454	9018.7987	5341.3786	4702.5895	2502.8165	4359.5032	2514.6698	3300.1705	3137.1521	3892.4414	2378.1459	5673.377	5898.3344	4496.0488	7316.8116	1509.2742	1713.5681	3291.2002	2477.5755	3534.8965	1660.8122	4259.7329	5146.7692	4658.9906	1599.8027	4465.1378	4366.6766	8195.4102	3146.6452	1720.5264	3327.0766	7473.603	2655.1788	4112.9693	4202.0641	2497.9731	1282.1029	5123.9983	5749.9318	7784.8727	2713.7136	2634.1402	5434.8365	3858.6625	5819.7476	3954.0526	2392.0004	2271.0769	4538.2025	3067.7911	1952.7858	4045.8678	1329.9835	4233.3843	6018.6984	6247.2075	6989.7685	6340.0451	3850.3822	1369.3893	2911.3728	3680.6175	4106.1473	5741.3658	4509.76	3372.6536	2496.3487	2468.5043	1388.8579	2203.3127	2103.586	1604.9558	5130.5276	2794.5574	5849.3735	3240.0825	4298.8708	3986.8809	6378.9983	3563.6996	5529.9956	5391.1852	2852.6787	14715.4736	3947.3984	2716.0497	5592.808	6419.1054	1592.8918	6127.0198	2005.2748	10560.8874	5205.8598	3288.2701	2364.2856	4177.5564	3660.5632	2559.1242	3528.4241	3239.8309	3423.9847	9142.403	3148.1195	1473.0912	3744.2617	4086.2685	2726.7996	5196.5231	3747.5341	2849.531	1866.4007	4294.9839	1464.8638	4310.387	5912.5848	5099.6071	2594.3293	1311.1378	4935.6713	1842.4233	2642.2673	2971.1354	6348.2828	3361.4656	1795.6289	2040.4631	7272.3272	1119.7313	2431.8126	4783.7342	4237.0012	7012.8006	4945.3592	8811.8077	4322.9581	2548.0378	8428.5265	4201.9765	4420.0793	4878.1999	3071.8884	4354.6405	5753.7014	3481.2326	5474.8123	6606.6321	8672.2294	7890.9475	5846.3642	5501.9078	3456.9363	3615.5097	5209.8136	3468.2261	2742.9401	10483.5997	5444.9483	7788.9938	3505.5467	2505.14	5827.2277	3234.7691	11428.327	3502.2941	2836.0769	4202.809	5548.4193	8638.4022	5562.2125	3936.3216	4477.853	12937.3554	4169.0192	3530.8973	4410.546	2848.4171	6837.7288	4939.5102	4098.2946	6920.7364	4347.0707	9485.0664	9984.9544	7634.6576	6015.7538	5348.8202	2361.4199	3549.3894	8372.1022	3203.9907	2736.9078	4546.7192	4055.8471	3442.9493	7034.5698	1295.5713	5353.1598	2987.8099	3920.0804	4315.6971	5092.5867	1352.556	3964.9491	2553.9388	2050.9438	6470.4799	5136.2047	6529.371	1713.3045	5352.9742	4994.2324	4311.9007	2016.0093	834.8306	1430.8175	978.3809	862.8884	2361.0555	2707.4429	1569.3298	1432.1667	1614.1251	1541.9927	5869.0072	2362.8828	1953.428	2496.8324	1689.8244	934.875	1962.2031	1606.823	1371.8737	1457.1623	1785.3071	1854.0233	5115.7202	3826.1005	1182.0686	2560.8129	1205.1808	1111.4497	2943.5519	1334.5205	3066.8624	888.2468	1884.1994	4345.28	1675.0268	3476.0649	2890.7593	1717.552	5277.9577	3799.0677	2143.1263	3807.6563	2620.7433	1573.3058	4521.8891	1376.3346	1458.7215	2441.4358	2862.1626	3020.393	2248.4451	2570.1255	2441.2508	2439.7886	2904.4868	1646.0279	1215.2429	2314.3458	2879.8934	2881.7927	5962.6316	4212.7141	2233.0299	2368.6184	2494.0961	1236.6833	5475.1918	4152.8162	2073.9584	2306.7521	3784.8786	5192.8497	2483.6106	1080.7744	5791.4184	2751.0365	2617.0187	2539.5156	2131.8908	1516.4193	1676.9322	4050.0816	2528.2764	1386.0981	2572.9739	2337.3233	1066.8125	2085.3316	6861.3293	1559.271	1502.1272	2171.6266	975.9354	3407.8334	3714.3361	2195.5089	4473.7289	3535.3032	2660.3197	2964.2317	4072.6872	2166.6394	3668.437	975.2955	3293.3991	1817.0292	3060.0393	2488.8705	3077.7129	7363.4756	2186.6124	3203.1591	2638.2043	2400.3982	2387.0381	3092.5041	3457.7662	3284.279	3066.4863	3457.0215	1657.6761	3579.8173	2122.8209	2906.799	4200.0207	1462.7444	1892.5755	1661.9532	2030.3672	2329.5673	5731.4874
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	387.9524	109.3135	114.7067	208.8393	50.4226	138.5742	465.3455	674.1386	139.7927	16.0565	246.0776	336.5727	100.4878	169.8163	84.7197	44.7297	0	636.1428	105.0879	0	16.7672	198.9809	313.5269	822.1391	541.4938	524.2689	0	80.3382	190.8275	81.6551	200.5443	134.2372	0	58.9556	794.8641	248.7563	828.2056	458.9444	438.4548	66.6767	319.8676	400.4065	536.9838	0	39.2544	537.5058	414.2987	257.287	504.6233	0	184.69	301.3931	0	99.3765	197.6314	14.2565	301.6817	1042.0086	568.0858	568.3069	137.556	620.4965	218.89	60.233	210.1892	568.6828	945.1295	472.7107	267.003	101.5397	100.0392	289.1055	327.0941	193.0624	389.2302	189.0318	162.3043	603.3709	380.4643	1408.9679	415.277	833.2247	334.5916	178.9641	903.9842	541.8099	1425.8773	0	218.7504	561.8665	401.1886	144.8515	774.9688	0	1578.4708	199.7019	310.4267	179.2652	206.1572	35.2268	295.3264	140.1555	38.9582	104.2354	1007.7367	128.1238	68.502	142.1764	443.2822	823.4539	747.2543	45.1997	437.7886	34.5827	356.8819	624.4828	834.6695	956.0746	657.3622	542.9774	0	683.0337	0	0	429.8457	1061.9909	296.0168	153.3467	393.0623	691.2489	43.2164	92.9156	880.343	496.1393	1361.4123	569.3034	1310.3603	168.3009	604.2112	957.8288	851.4673	189.5352	232.2666	1011.9949	443.5132	1133.8109	496.5185	881.7616	830.0996	1122.2983	1653.1152	557.3836	642.8691	663.5068	734.0647	1475.7854	1111.6692	630.0046	1988.3942	509.5056	960.8141	297.1406	283.6638	665.9556	574.2693	1119.157	403.5855	465.2006	1413.3641	1174.4209	1863.026	1950.6457	643.1477	809.6756	2272.6478	684.2368	362.1769	676.7484	787.2318	662.6046	893.7873	518.2625	816.5769	741.1163	1051.7546	3016.1487	800.477	402.5677	993.2539	62.0824	121.8297	450.259	222.1618	57.9946	34.7571	645.972	206.7602	422.7847	0	662.8766	79.357	227.11	0	465.0786	119.9322	111.397	21.7516	36.0154	428.5755	327.2394	294.5493	134.8238	103.4185	98.1544	640.6198	0	0	0	0	6.7921	235.5166	0	0	116.8868	0	0	98.2931	64.4396	354.5537	126.7845	37.8991	0	56.8807	350.6596	126.2953	112.2776	85.6293	0	41.4737	541.2743	80.1307	0	97.2217	55.0576	558.5392	0	295.371	71.6355	16.9766	283.8834	0	0	374.9897	116.9104	37.4641	183.7786	53.7397	107.1142	0	63.6895	433.2771	26.7684	198.9839	0	214.5327	146.9081	142.4812	0	129.1794	0	0	102.0187	190.7327	22.8094	0	0	328.0068	87.5068	0	218.3963	392.0574	481.8088	224.2818	0	108.6204	0	51.9115	179.2472	352.892	530.2234	846.8432	233.1991	183.7892	210.8712	25.9659	136.8014	151.8742	347.2927	357.0641	0	0	63.5132	140.9159	103.0245	677.9734	173.0572	135.8434	66.4	39.7688	661.3082	196.7188	580.6168	738.3131	551.7201	694.0328	171.9989	221.9803	97.276	702.5916	190.7087	374.4369	130.7942	993.4048	509.9764	0	576.4369	125.2336	380.9848	1081.139	108.9362	251.6062	448.696	176.3903	497.3125	693.043	103.5802	0	744.4851	127.6145	305.0688	558.7543	108.9926	514.4686	156.0081	147.4596	155.9249	1643.3279
AEROBACTINSYN-PWY	aerobactin biosynthesis	0	0	71.6185	0	0	0	0	0	0	0	0	0	0	0	27.9196	134.1729	85.9335	0	0	0	0	50.1488	0	0	0	0	0	0	175.3048	0	0	0	0	0	113.0484	0	0	0	0	0	0	0	0	0	0	0	0	99.3603	19.3488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.4169	0	0	0	0	0	0	0	0	0	0	423.6896	0	0	0	0	217.7595	0	0	0	0	0	0	59.8692	0	141.214	0	0	0	0	0	0	0	9.9416	0	48.1517	0	0	0	165.6375	0	0	0	0	0	0	272.1982	0	89.2064	21.8498	0	0	0	0	0	0	0	272.3003	0	95.4262	0	0	0	44.3297	0	0	0	0	0	0	0	0	38.9538	0	0	0	0	0	0	176.9532	0	0	0	0	0	26.4424	0	0	0	0	0	0	0	192.3167	74.1151	0	0	0	0	200.2564	0	0	0	0	0	0	0	0	0	0	0	0	134.3584	64.8331	0	445.5287	0	0	0	0	0	93.7293	0	36.8151	102.9235	51.2566	0	0	0	0	0	0	99.6546	334.4676	67.7041	0	93.8561	0	0	52.0126	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.2833	262.2762	0	409.7509	0	0	345.1174	0	0	0	19.15	114.3955	0	0	0	0	0	0	0	0	0	0	0	0	236.7209	0	0	0	0	0	0	0	0	0	371.8763
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	293.9722	2355.0898	634.1902	1185.8474	0	1493.2757	1393.853	598.0137	1682.4795	0	771.1478	0	992.537	501.3462	1772.8408	2407.486	1457.03	1022.6893	437.6697	0	744.7378	304.1942	443.0534	669.0168	1292.3773	2311.3127	0	487.8353	1775.9413	1909.3379	3859.9971	1251.7135	643.1368	1308.7606	3082.0731	656.3449	2587.3616	1641.7427	1128.9188	722.1616	2271.9469	1277.5613	3271.6095	996.6069	0	2040.749	2836.5544	2149.8435	488.065	955.2897	703.2313	1895.1584	1011.9312	364.8496	1094.4868	122.5688	324.003	2139.9796	2264.0696	880.8276	1980.2582	2095.3258	152.9029	0	1051.2871	132.4026	1995.6208	1624.2766	563.6569	0	0	480.4645	619.6046	703.1286	1075.4311	1372.2545	1088.7116	2233.0313	899.1545	1306.5868	841.2267	2508.7075	860.2965	1019.4067	2120.8107	0	4027.2441	825.0249	577.7066	1403.5212	2331.756	343.8655	2380.799	836.5128	0	357.6781	1339.8311	666.9657	970.0137	1901.9837	950.9222	649.4432	673.3346	803.3951	3712.3035	985.2316	401.4785	953.5972	416.8325	1409.882	2401.8738	819.7167	718.0861	920.0875	1760.554	0	0	2015.6291	2634.5822	795.2155	573.2929	2331.1497	0	748.4964	1507.6891	2046.4984	433.5338	501.0937	491.6275	3801.8202	0	630.7431	737.1524	1107.9818	1479.7256	734.9154	3687.5111	0	0	2963.8578	0	745.7708	500.6166	959.4856	1245.1309	0	351.5743	1092.3888	0	2691.9936	2630.0302	2471.4187	2176.2976	0	950.4322	2344.0498	0	501.5377	3574.3466	611.6771	0	525.7955	0	2031.11	757.8354	2571.0593	690.2541	996.3355	1471.3824	1392.0123	4172.5596	2049.0515	1718.8799	1912.339	4165.2627	293.2929	0	1566.4179	0	0	828.0812	488.6804	1420.1345	1248.7841	3227.6357	1964.5369	2276.2855	2114.8623	2054.1063	712.5302	1509.769	2164.578	1113.9443	320.2976	0	498.4104	1226.8791	1779.7051	416.2133	2084.5734	594.0816	1050.0009	836.9346	1051.4651	716.862	853.7721	959.2598	758.134	2129.8849	1329.1335	2580.8178	583.264	1065.6583	1013.2204	1599.2224	807.0855	0	464.608	0	0	0	0	0	590.4786	0	255.5648	2026.5767	1106.1491	0	731.0038	275.9313	0	665.9802	0	218.8775	0	682.7098	714.5317	927.1571	712.7245	0	704.1281	346.3963	519.4709	0	0	1326.4475	0	225.1093	1361.6777	0	1263.6938	631.3147	469.4027	1934.6111	0	669.9999	2339.6296	1042.7375	451.5164	448.1185	334.7618	561.7975	912.8477	1287.8783	929.0806	989.8511	258.2512	1151.9439	489.963	1256.3478	658.4809	375.8316	300.081	0	0	838.3965	0	864.6722	1013.6379	1012.0625	151.6797	0	656.8118	829.5085	858.2882	0	1435.2091	1058.941	207.424	748.3843	610.5053	0	500.1056	497.8872	615.3449	709.6731	1324.9884	1292.248	345.6048	1207.2677	904.5493	494.6323	1072.8936	2820.2639	678.3791	612.3442	515.2411	335.0189	701.3292	658.4713	635.1374	938.0603	1300.0439	676.5127	1921.1446	963.9252	923.5234	1606.6486	416.5425	1190.9273	657.2377	343.9318	1180.658	817.0396	769.4234	713.7026	401.8166	1049.9108	1358.0895	938.4517	407.3426	1171.8993	814.361	983.0522	765.4326	220.1346	0	1163.754	736.2586	986.6256	691.596	932.1858	501.8599	238.1543	945.8204	2961.2003
ANAEROFRUCAT-PWY	homolactic fermentation	1419.5336	3638.4611	5410.9401	4946.213	8053.6932	4816.4351	4335.4729	2458.0869	3885.6117	2038.5573	2470.7085	2968.4259	3306.4575	1977.2223	5348.4014	5219.1935	4150.0171	6383.7362	984.9015	1612.1081	3031.9125	1550.6505	3291.4742	1536.2263	3614.1648	4868.2289	4356.1974	1631.4265	4626.1188	5046.7401	7752.8947	3477.1879	1983.2735	2909.2571	6803.0754	2401.3943	4258.5452	3369.8299	2732.4388	1332.9641	4685.7381	5367.7496	8044.7097	3405.5727	2111.6778	5186.6827	3565.7794	6556.3003	3382.5753	2904.2083	2158.0051	5000.7698	2806.4219	2582.3168	3782.5661	1096.4277	4495.1954	5063.9587	6328.4359	6114.8794	6227.3353	3422.0068	1270.6591	2343.3992	3084.0289	3888.1283	5320.2248	4492.9357	2491.1107	2170.5148	2145.474	1351.8068	2214.0788	1747.2058	1617.8032	4422.1927	2829.8142	5215.6983	2702.8296	4350.1449	3185.6809	5829.0301	3489.0859	5028.3439	5178.3175	2849.9495	13717.0931	2817.2005	2497.4849	5532.8547	5956.3558	1404.5077	6719.864	2072.1344	9181.1828	5058.4059	3087.3793	2138.7251	3533.1955	3483.0289	2365.8029	2831.7031	3166.7036	2910.8935	8204.6094	2890.8052	1204.3116	3034.0825	3574.9382	2594.4744	5273.5433	2877.3636	2673.0663	1900.9557	3704.4747	1122.5422	3602.6465	5533.5362	5137.5957	2541.0314	1369.5359	4751.6856	2038.2644	3382.0344	2593.4249	5788.8851	2917.6756	837.7395	1531.9445	6195.5852	1239.7631	2399.9547	5048.5738	4401.7322	6761.3243	4491.7173	9048.3823	3509.015	2398.625	8375.5686	3816.8346	4123.0156	4072.551	3006.5197	3416.313	5899.82	2982.6228	5135.785	7111.6103	8195.5685	6972.0592	5404.6458	5382.079	3502.1288	3700.2536	4851.6891	3143.1891	2402.413	9834.0364	5284.5632	7754.1202	3417.9483	2097.1763	5530.0947	3281.6865	11292.8616	2944.0937	2757.4601	4035.4902	5251.2165	8554.983	5374.1318	4004.0343	4292.3151	13196.0133	3364.5161	3058.3745	4338.5416	2457.2513	6432.2108	4376.4295	4099.933	6409.2283	3998.3549	9503.5295	9058.6209	7197.2643	6051.5768	5439.8557	2112.8092	3018.2896	7915.6744	2817.5239	3145.3506	4385.544	3515.8287	2701.5015	6400.5928	1436.5575	5003.9279	3682.3666	3485.6306	3759.2935	4623.0856	1005.1449	4459.9054	1997.5523	1728.8432	5196.9802	4331.5202	5912.7517	1345.6171	3562.5553	4662.9699	4279.6194	1839.8074	569.0748	1323.1814	1453.3196	1128.2505	2567.6918	2814.6803	2239.5466	1643.4365	1645.6521	1388.4432	5455.5557	2739.8548	2245.3897	2150.2883	1496.5881	1148.5294	1888.6372	1438.3395	1647.8908	1717.4998	2309.4484	1720.3072	4155.0503	4559.5267	1328.9775	2671.8321	2131.4027	997.6578	3357.8425	1244.0542	3448.1457	957.4296	1989.6252	4120.9566	1348.0481	3547.968	2553.2795	1830.1358	4417.0667	3987.4078	1878.9158	5054.8554	2656.1191	1694.1636	4923.6273	1592.5235	1372.3315	2606.5816	2904.2578	2657.1783	2504.6344	2301.8082	2416.0997	1876.993	3313.5228	2250.3494	1375.1617	2431.6541	3812.3009	2689.4014	6579.4874	3962.5824	1960.2783	2799.2972	2104.5679	1019.3692	6703.7917	3897.3286	2105.2483	2322.1669	3934.3743	4554.2685	2213.1766	1209.247	4448.337	3002.6746	2845.5436	2186.7995	1819.3995	1496.0771	1859.7454	4469.8698	2396.6093	1168.2121	2690.3596	2811.4394	888.0514	2351.6092	6897.4252	1671.972	1481.9439	1936.9101	831.4974	2825.4704	2210.764	1574.0472	3804.8519	3367.6044	2506.9932	2836.0589	3235.0702	1664.7268	3346.2173	724.9084	2854.8457	1628.4535	2318.7924	1864.9215	2989.6675	7107.8333	1488.4871	2164.9792	2243.9207	2059.8021	1845.9366	2436.1566	3263.5277	3009.8373	2807.1993	2906.8917	1434.3401	2413.1071	2454.3683	2079.2164	4251.0894	1168.7608	1583.6141	1443.1014	1103.7117	2132.4514	4949.7268
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	1868.1107	4239.3991	5933.98	5757.1369	9234.9113	5554.1088	5051.3845	2599.8443	4509.4506	2760.9751	3174.1005	3235.44	3737.5603	2629.4646	6680.607	6297.6174	5234.7534	7880.2341	1054.0538	1718.3012	3440.599	2547.2419	3655.1315	1774.4692	4312.4562	6655.2783	6914.8509	2028.3584	6625.1541	7771.509	10322.436	5158.1865	2832.6202	5516.2738	9571.988	3626.3599	4695.4702	5100.524	3262.175	1777.8553	6924.6642	8945.2927	11619.2703	4162.3113	3069.8455	7482.6042	4223.6838	8498.2133	4460.4885	3773.85	2713.6698	6802.3281	4224.6896	3176.1728	5120.0319	1726.4995	6142.6057	6765.9927	8964.784	7428.3852	7076.4601	4018.2343	1669.7993	3344.7287	4113.2517	4690.7061	6099.5064	6214.854	4127.5218	2560.2068	2527.2078	1654.388	2656.858	2284.6047	1843.1229	5687.5726	3228.8622	5792.9063	3159.5041	4824.1291	4342.9822	6969.9634	4032.8519	5541.6204	6059.9434	4800.4206	18092.1576	4946.266	2958.1655	6204.9401	7458.6329	2172.0367	8141.9904	2519.2409	11452.7228	5953.7956	3943.2617	2999.2218	4023.2696	5204.0552	2929.8086	3852.3126	3988.1992	3632.0879	11600.7344	3774.7885	1889.5863	4256.8462	4805.614	3824.3772	6561.7412	3526.4136	3590.1644	2707.7692	4566.0029	1418.7559	4646.6074	7522.5671	6401.4627	3096.4858	1655.9235	5657.6244	2407.7407	4223.4139	4605.9061	7100.3619	3624.3828	1901.7485	2376.9079	7365.6652	1328.158	2567.822	6118.1853	5565.2454	8518.9291	5644.1348	10629.3094	4896.5265	2925.6307	9603.7693	4811.2667	4845.6625	5214.6256	3642.504	4399.1878	6727.0582	3818.5904	6003.5341	8400.3896	9750.2048	7990.7183	6916.6646	7100.4823	4253.9827	4540.5944	6095.7079	4331.1439	2911.7877	11681.5795	6074.3645	8548.3978	3816.997	3124.1592	6392.7299	4065.7547	14746.2284	3524.4734	3638.292	4890.0706	6772.3722	9675.3505	6281.8502	4771.5256	5649.0196	16062.4723	4232.4388	3726.8955	4950.3703	3404.2705	7344.0057	5826.6628	4543.1907	7378.664	4855.4119	11454.1255	9994.8298	8470.5508	7085.8501	7079.8426	2451.7053	3315.6861	8510.1836	3342.8527	3260.894	4996.9698	4323.3276	3696.4934	7571.9617	1834.6434	5821.3804	3773.1529	4127.4582	4773.3899	5163.0561	1425.1167	5646.7096	2768.4799	2022.4781	6455.0307	5055.1135	7149.5819	1572.1559	5049.5547	5217.6157	4890.3471	2416.9669	1867.0416	1841.9132	2111.9336	1707.0279	3761.0195	4659.3477	3252.0472	2124.645	2320.737	2414.1753	6324.0886	3916.2382	3500.9279	3652.7862	2552.5526	1877.3262	3166.3825	1689.7551	2245.7592	2114.4585	3533.582	2469.5291	5365.7076	6250.7959	2262.3773	3922.2991	2533.1075	1690.7753	4600.2251	2296.1595	4665.1497	1390.6674	3212.1045	5139.6709	2143.4622	4629.3814	3864.4345	2426.2305	7383.6718	5438.818	2750.8292	6378.1679	3705.8591	2798.5231	7001.4209	2341.2041	1706.087	3633.6998	3434.5699	3853.7529	3322.9271	3412.0643	3735.5482	3419.5696	4710.1626	2868.4151	1626.1473	3273.2	5036.78	3469.8151	9395.744	7034.2747	3117.1555	3346.8298	3103.1903	1618.6551	10000.7174	5047.8648	2807.7911	3185.6081	5452.1383	5363.1556	2903.6227	1612.7043	6302.3626	3821.942	3624.3701	3013.2053	2696.3586	2128.514	2344.2419	6285.0107	2769.0602	1342.2327	3409.0546	3205.0787	1320.5191	2780.8109	9471.4837	1964.5122	2109.3053	2501.2616	1191.4563	3411.9011	4025.5165	1915.1873	4156.1953	3710.3112	3368.8999	3350.3475	4466.53	2343.9453	4231.9662	944.5432	3156.4704	1918.1633	3156.3025	2106.7479	4022.9252	8078.2093	2372.3545	2343.1043	2758.2461	2595.836	2510.3785	3319.6304	3866.6819	3257.4432	3639.8398	3476.418	2172.2164	3574.5716	2934.8173	2587.2411	5521.4784	1430.0254	2132.0881	1868.4154	1832.8558	2689.1816	5875.6654
