"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","B73/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","B73/PHN82",0.9,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG119/CG108",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","CG44/CGR01",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/H95",0.833,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","F42/OH43",0.975,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota"
"Phylum","2369/LH123HT",0.727,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/H95",0.812,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/MO17",0.867,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B14A/OH43",0.684,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/H95",0.764,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/MO17",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B37/OH43",0.65,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/MO17",0.846,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG119/CG108",0.704,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/H95",0.75,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/MO17",0.667,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","F42/OH43",0.625,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","LH74/PHN82",0.786,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHG39/PHN82",0.615,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Chloroflexi"
"Phylum","PHW52/PHN82",0.545,FALSE,"d__Bacteria; p__Chloroflexi"
"Phylum","2369/LH123HT",0.364,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B14A/H95",0.25,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B14A/MO17",0.4,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B14A/OH43",0.158,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B37/H95",0.527,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B37/MO17",0.5,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B37/OH43",0.525,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B73/MO17",0.462,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","B73/PHM49",0.636,TRUE,"d__Bacteria; p__Deinococcota"
"Phylum","B73/PHN82",0.2,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","CG119/CG108",0.519,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","CG44/CGR01",0.545,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","F42/H95",0.25,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","F42/MO17",0.333,FALSE,"d__Bacteria; p__Deinococcota"
"Phylum","F42/OH43",0.575,FALSE,"d__Bacteria; p__Deinococcota"
