"level","taxon","term","SS","pval","herit"
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales","Maize Genotype",35395.3225484831,0.017762623964523,0.0943802490905226
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales","GXE",62522.5646713107,0.985196071520049,0.166713983729737
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales","Environment",56319.1484575809,1.52513359717076e-07,0.150444018618355
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales","Maize Genotype",13400.8671251927,0.808640597340311,0.0357974216318823
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Kineosporiales","GXE",81622.1191267655,0.755210450513172,0.218035249926152
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales","Environment",15413.5400975199,0.00984417792061077,0.0644189582146295
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales","Maize Genotype",11812.5462277252,0.497142356593743,0.049369055845558
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales","GXE",68533.0989592592,0.202587746140401,0.286425494094374
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales","Environment",19194.0704317524,5.96793410896167e-05,0.0997489068668694
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales","Maize Genotype",11103.6958501717,0.261176275984235,0.0577043586025695
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales","GXE",52796.9420623253,0.184686442959322,0.274378343840929
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales","Environment",29030.8069820333,0.000222939468930449,0.0956231010913228
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales","Maize Genotype",22010.0691385447,0.120652107448075,0.0724978491836142
"class","d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales","GXE",69287.8600199028,0.694349553907024,0.228223764058126
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales","Environment",37407.5454727723,1.01957508460709e-08,0.14200906372691
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales","Maize Genotype",15312.3891360638,0.133971219641247,0.0581299311984333
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales","GXE",80657.0361628993,0.00867281354116649,0.306195716498368
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales","Environment",33442.1355270285,7.22685319403128e-08,0.165598913432541
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales","Maize Genotype",6785.17803111699,0.883655651431668,0.033598874344947
"class","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales","GXE",34176.9794246876,0.991821420216723,0.16923771666915
"class","d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales","Environment",21192.5486589151,2.5480171832772e-06,0.136927286510533
"class","d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales","Maize Genotype",5216.94222186246,0.88334605600643,0.0337072125594179
"class","d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales","GXE",30358.7901871577,0.94700420134632,0.196151337386284
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales","Environment",55049.2398705624,6.25143834404547e-07,0.135331933934943
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales","Maize Genotype",30820.9022592439,0.0718025214082618,0.0757694805263572
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales","GXE",85984.9851415176,0.75510344867943,0.211383742190263
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales","Environment",832131.273372609,2.05737081629785e-19,0.306035509802359
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales","Maize Genotype",103266.715047333,0.546902858089249,0.0379787213825508
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales","GXE",473900.671447568,0.775021859175799,0.174287925743173
"class","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales","Environment",193841.17411133,3.08682412571334e-09,0.170202567474289
