"level","taxon","term","SS","pval","herit","taxonomy"
"Phylum","d89f6cfb141fb171a96d71b914757ad9","Maize Genotype",20815.6460533632,0.819894796979241,0.0274668360674585,"d__Bacteria; p__Deinococcota;NA;NA;NA;NA;NA;NA"
"Phylum","d89f6cfb141fb171a96d71b914757ad9","GXE",107279.216979226,0.972989659576956,0.141557973202452,"d__Bacteria; p__Deinococcota;NA;NA;NA;NA;NA;NA"
"Phylum","cb67a4fe82a4e376010ebbde029c0cb8","Environment",6435561.08451558,1.55850291630697e-26,0.352216208089763,"d__Bacteria; p__Proteobacteria;NA;NA;NA;NA;NA;NA"
"Phylum","cb67a4fe82a4e376010ebbde029c0cb8","Maize Genotype",933426.690874987,0.0548809827343445,0.0510861454459351,"d__Bacteria; p__Proteobacteria;NA;NA;NA;NA;NA;NA"
"Phylum","cb67a4fe82a4e376010ebbde029c0cb8","GXE",3634251.80345515,0.0921071707275676,0.198901443502141,"d__Bacteria; p__Proteobacteria;NA;NA;NA;NA;NA;NA"
"Phylum","10c06dd3fbac9571ab7420789032d1b2","Environment",35637.4755867061,5.19925909604543e-07,0.114550178405489,"d__Bacteria; p__Myxococcota;NA;NA;NA;NA;NA;NA"
"Phylum","10c06dd3fbac9571ab7420789032d1b2","Maize Genotype",19096.085812869,0.0674507864158992,0.0613808919037651,"d__Bacteria; p__Myxococcota;NA;NA;NA;NA;NA;NA"
"Phylum","10c06dd3fbac9571ab7420789032d1b2","GXE",102887.104541237,0.00105174354491215,0.330711869648233,"d__Bacteria; p__Myxococcota;NA;NA;NA;NA;NA;NA"
"Phylum","2f1f989579cf46444f1ee6a3762d813d","Environment",5450.33054033809,0.0340107917437337,0.0585352396212462,"d__Bacteria; p__Bdellovibrionota;NA;NA;NA;NA;NA;NA"
"Phylum","2f1f989579cf46444f1ee6a3762d813d","Maize Genotype",4445.4675297838,0.569899328507553,0.0477432524795501,"d__Bacteria; p__Bdellovibrionota;NA;NA;NA;NA;NA;NA"
"Phylum","2f1f989579cf46444f1ee6a3762d813d","GXE",21174.6814939921,0.803902148713759,0.227410988376039,"d__Bacteria; p__Bdellovibrionota;NA;NA;NA;NA;NA;NA"
"Class","435c8c86221e4553c04b2298666b0a56","Environment",40545.6748569858,2.57315204976067e-10,0.162848431302392,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria;NA;NA;NA;NA;NA"
"Class","435c8c86221e4553c04b2298666b0a56","Maize Genotype",9109.76818526591,0.5338366432042,0.0365886488196752,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria;NA;NA;NA;NA;NA"
"Class","435c8c86221e4553c04b2298666b0a56","GXE",76245.1829093826,0.00466210375461992,0.306232624686912,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria;NA;NA;NA;NA;NA"
"Class","c99f42810e2c0436c0d362b36a17da0e","Environment",3018004.90801931,4.26486674111739e-27,0.347785891463154,"d__Bacteria; p__Bacteroidota; c__Bacteroidia;NA;NA;NA;NA;NA"
"Class","c99f42810e2c0436c0d362b36a17da0e","Maize Genotype",527887.75097055,0.0101357726226772,0.0608322112319765,"d__Bacteria; p__Bacteroidota; c__Bacteroidia;NA;NA;NA;NA;NA"
"Class","c99f42810e2c0436c0d362b36a17da0e","GXE",1807492.7128996,0.0342475223286546,0.208290073617376,"d__Bacteria; p__Bacteroidota; c__Bacteroidia;NA;NA;NA;NA;NA"
