"","V1","V2"
"DEH1-1-106",0.00584114522605183,-0.000884232015045648
"DEH1-1-112",9.42407575652506e-05,-0.00123145946643758
"DEH1-1-116",-0.00139725881577126,-0.00193592324480249
"DEH1-1-173",0.00797549732310963,-0.00183025513110896
"DEH1-1-187",0.00587255176231402,-0.000798377048117213
"DEH1-1-190",-0.161388778910849,-0.0141812856937233
"DEH1-1-302",0.00532953373333394,-0.000786007484832373
"DEH1-1-304",-0.000528631440918777,-0.00083089899187196
"DEH1-1-31",5.21178469029249e-05,-0.00122429115145777
"DEH1-1-331",0.000551239729868391,-0.00138263955255618
"DEH1-1-345",0.00521243398146592,-0.000561622329370553
"DEH1-1-363",0.00211274073497998,-0.00178117721295041
"DEH1-1-369",0.00532024607604898,-0.000538384806782321
"DEH1-1-399",0.00564997459879854,-0.000670593056902885
"DEH1-1-40",0.00706077169198976,-0.000996364496362415
"DEH1-1-414",0.00532024607604856,-0.000538384806781725
"DEH1-1-422",0.00611195659768002,-0.000644910605685081
"DEH1-1-439",0.00592189656820123,-0.000633588723961099
"DEH1-1-500",-0.000778943398173146,-0.00157625862582338
"DEH1-1-6",0.00585004287611727,-0.000567143352596417
"DEH1-1-75",0.00374426662285033,-0.00199831524186516
"DEH1-1-91",0.0058855983559567,-0.000616244278498542
"DEH1-2-505",0.00590585826929638,-0.000605742382218523
"DEH1-2-514",0.00678830392732464,-0.00102878511828685
"DEH1-2-522",0.00576053764257373,-0.000583703955690148
"DEH1-2-530",-0.00703826507859204,-0.00138323417097517
"DEH1-2-580",0.0121658290440787,-0.00170123930206238
"DEH1-2-585",0.00288031126042351,-0.000846005964669314
"DEH1-2-610",0.00517638155965063,-0.000579091400816454
"DEH1-2-614",0.00644647462073629,-0.00100738286949802
"DEH1-2-637",0.00569776902351381,-0.000607327807201744
"DEH1-2-655",0.00594970344787584,-0.000628633198008182
"DEH1-2-689",-0.0118393867423543,-0.00164751434638925
"DEH1-2-713",-0.141935511343214,-0.00744395523385577
"DEH1-2-719",0.00549239777445712,-0.000556039748257266
"DEH1-2-720",0.00342849796354985,-0.00421725810241538
"DEH1-2-751",-0.0830548705256418,-0.00838458181497627
"DEH1-2-756",0.00516709806567552,-0.00060204776032431
"DEH1-2-780",0.00532024607604828,-0.000538384806782267
"DEH1-2-791",-0.0857215891432968,-0.00569428779674758
"DEH1-2-809",0.00532024607604829,-0.000538384806782224
"DEH1-2-827",-0.00741680752126312,-0.00144675250037216
"DEH1-2-839",0.00602467480623541,-0.00141353793972617
"DEH1-2-846",0.00532024607604828,-0.000538384806782225
"DEH1-2-860",0.00491509603615942,-0.000814228328658952
"DEH1-2-866",-0.00304928203560674,-0.00221454409192321
"DEH1-2-900",-0.0185352745867697,-0.00350993370150652
"DEH1-2-902",0.00117819825197211,-0.000833485848618185
"DEH1-2-917",0.0076416718177679,-0.00158276437098567
"DEH1-2-923",0.016437492434777,-0.00512674398489147
"DEH1-2-937",-0.00453213628047376,-0.00122540310514657
"DEH1-2-968",0.00559484601925846,-0.000591175925436425
"DEH1-2-985",0.00960830787686068,-0.00109329533920245
"DEH1-2-987",0.00490396487866083,-0.000622259461534067
"GAH2-1-106",-0.0161766372227883,-0.00304311028785717
"GAH2-1-108",-0.0149915690908062,-0.00243576652115045
"GAH2-1-132",-0.00602110323587762,-0.00268898386403472
"GAH2-1-135",0.00636662170487407,-0.000768250178267056
"GAH2-1-170",-0.078614004345844,-0.00248833221666448
"GAH2-1-184",0.00484457011798703,-0.000904003774286553
"GAH2-1-191",0.00347136648435586,-0.00105575338838683
"GAH2-1-206",-0.00673036337521992,-0.00168624167052807
"GAH2-1-217",-0.00524033114456784,-0.00146372231039477
"GAH2-1-220",-0.00474828117097455,-0.00296961549372486
"GAH2-1-226",0.00576040513007399,-0.000694887430485653
"GAH2-1-242",0.00577270306182056,-0.000776563076320003
"GAH2-1-245",0.00176609755749791,-0.000970302499458788
"GAH2-1-38",-0.0210965128787405,-0.00210098993498975
"GAH2-1-46",0.00480398296631383,-0.00112285206747796
"GAH2-1-49",0.00504265291994541,-0.00117717378573016
"GAH2-1-50",0.00348183639721167,-0.00101537156835404
"GAH2-1-52",0.00532024607604829,-0.000538384806782227
"GAH2-1-6",0.00631138086295859,-0.000735140315994293
"GAH2-1-73",0.00193844481843513,-0.000878417766096427
"GAH2-1-83",-0.00903214885101311,-0.00152107294044629
"GAH2-1-86",-0.0474147335327336,-0.00103193938096985
"GAH2-1-98",0.00134919964005862,-0.00148676751102701
"GAH2-2-268",0.00589107230263413,-0.000610914925014132
"GAH2-2-282",-0.093643775560963,-0.00488406931836164
"GAH2-2-284",0.00879281651253523,-0.00144728106905246
"GAH2-2-293",0.00363098123564847,-0.00128525886439424
"GAH2-2-299",0.00532024607604828,-0.000538384806782226
"GAH2-2-353",0.00364166699503365,-0.00122912238045641
"GAH2-2-360",0.00584081793229645,-0.000604894302196927
"GAH2-2-376",0.0054316618170189,-0.000551633854801247
"GAH2-2-379",-0.0256040048376953,-0.00208747515431472
"GAH2-2-383",0.00532024607604828,-0.000538384806782224
"GAH2-2-386",0.00523277951205943,-0.000665307376096433
"GAH2-2-398",0.0143143620715042,-0.00443161556614827
"GAH2-2-410",0.0118120944607085,-0.00569853396007661
"GAH2-2-412",0.00116137093290158,-0.00104692195294104
"GAH2-2-433",0.0041106841204405,-0.000778019283911839
"GAH2-2-437",0.00532024607604828,-0.000538384806782225
"GAH2-2-441",0.00556322354104284,-0.000573221677872918
"GAH2-2-458",0.00560374058627588,-0.000604547463721769
"GAH2-2-461",0.00532024607604828,-0.000538384806782225
"GAH2-2-472",0.00483094989900794,-0.000621679367495383
"GAH2-2-487",-0.0096552527614848,-0.00162254724789747
"GAH2-2-494",-0.0469684197349267,-0.00444210694668441
"IAH2-1-148",0.00538922521329352,-0.000546334762481797
"IAH2-1-160",0.0054413373896622,-0.000550801722698046
"IAH2-1-207",0.00532024607604827,-0.000538384806782226
"IAH2-1-230",0.00539371861641946,-0.000552678058468565
"IAH2-1-238",0.00538212001152453,-0.000560571136267934
"IAH2-1-27",-0.00438241591373947,-0.00175206433193854
"IAH2-1-321",0.00535379893618852,-0.000525636973793986
"IAH2-1-345",0.0055667154602811,-0.000564321600237784
"IAH2-1-349",0.0080479759391733,-0.000819985323140445
"IAH2-1-378",0.00617722653553643,-0.000734861572803056
"IAH2-1-379",-0.0588755357888451,-0.00343069367348288
"IAH2-1-424",-0.0839376689056548,-0.00453271570181014
"IAH2-1-431",0.00532024607604825,-0.00053838480678223
"IAH2-1-44",0.00532024607604825,-0.000538384806782231
"IAH2-1-452",0.00532024607604825,-0.00053838480678223
"IAH2-1-5",0.00576796813327361,-0.000653272689528725
"IAH2-1-85",0.00532024607604826,-0.000538384806782229
"IAH2-2-542",0.00463897298637628,-0.000765664455749658
"IAH2-2-562",0.00532024607604825,-0.000538384806782229
"IAH2-2-570",0.00532024607604825,-0.000538384806782229
"IAH2-2-605",0.00532024607604825,-0.000538384806782229
"IAH2-2-625",-0.0208532357846027,-0.00216261869632931
"IAH2-2-633",-0.0660316863687804,-0.00616252902550311
"IAH2-2-638",0.0060433195645387,-0.000986235040281855
"IAH2-2-640",0.00501440766746165,-0.000675995344379364
"IAH2-2-693",0.00541247770002083,-0.000547841732163216
"IAH2-2-710",0.00541856440420175,-0.000566610984046034
"IAH2-2-739",-0.166038458515986,-0.00819732176492672
"IAH2-2-742",0.00532024607604828,-0.000538384806782228
"IAH2-2-777",-0.0344113175929928,-0.00263608674270979
"IAH2-2-788",0.00532024607604828,-0.000538384806782228
"IAH2-2-804",0.00532024607604829,-0.000538384806782228
"IAH2-2-843",-0.0152405925282412,-0.001739132539407
"IAH2-2-871",0.00552189703965249,-0.00055906652422152
"IAH2-2-907",0.00621957877883697,-0.00119441663450229
"IAH2-2-921",0.00608299999788834,-0.00069068979098405
"IAH4-1-125",0.00931556300253861,-0.0017199913133314
"IAH4-1-176",0.0130582320868702,-0.0044388716468536
"IAH4-1-249",0.00527055056098523,-0.00066473391451326
"IAH4-1-337",0.00722323161870429,-0.00217112922932101
"IAH4-1-353",-0.040836280233607,-0.00383274905338792
"IAH4-1-356",0.00573858262817506,-0.00059519198949299
"IAH4-1-366",-0.00141208042797078,-0.00162895505779233
"IAH4-1-369",0.00681825678502838,-0.000809606973943988
"IAH4-1-459",0.00771207436650605,-0.000785544858166221
"IAH4-1-462",0.0978392291340209,0.680474732645211
"IAH4-1-49",0.0978392291340209,0.680474732645212
"IAH4-1-513",0.0053202460760483,-0.000538384806782139
"IAH4-1-543",0.0053202460760483,-0.000538384806782141
"IAH4-1-57",-0.0626432019827788,-0.00672801998735334
"IAH4-1-582",-0.370432261994446,-0.0116917770622321
"IAH4-1-588",0.00606874167702822,-0.000755732082939161
"IAH4-1-663",0.00775941737153904,-0.00108338659580505
"IAH4-1-716",0.00426087420606587,-0.00124870384335164
"IAH4-1-723",-0.00976455131229026,-0.00332143762805918
"IAH4-1-752",0.00750041431169381,-0.00091264795263282
"IAH4-1-755",0.00417205800879659,-0.000858413040684826
"IAH4-1-764",0.00621193092545226,-0.000654149355994038
"IAH4-1-787",-0.0579251312223851,-0.00448667384983709
"IAH4-1-82",-0.023405128898651,-0.00234677517889968
"IAH4-2-1016",0.00903369266433057,-0.00272411852416743
"IAH4-2-1032",0.00809587686878123,-0.000825577338346615
"IAH4-2-1044",-0.0129137471396217,-0.00192323414578222
"IAH4-2-1061",0.00549239777445713,-0.000556039748255004
"IAH4-2-1067",0.00505492211958842,-0.00119317374536319
"IAH4-2-1068",0.00621003478897693,-0.000936374194368701
"IAH4-2-1082",0.00775205182588435,-0.00109718205869237
"IAH4-2-1088",0.00630347617083474,-0.0006548205556276
"IAH4-2-1153",0.00567697753295445,-0.000594128161488468
"IAH4-2-1174",0.0053202460760483,-0.000538384806782139
"IAH4-2-1187",-0.000896128903232287,-0.000870716915094064
"IAH4-2-1218",-0.0176404715669358,-0.00231766444852409
"IAH4-2-1220",0.0056599821780881,-0.000690771584036136
"IAH4-2-1290",0.00729320449180747,-0.00139556606790498
"IAH4-2-1336",-0.00845173722381243,-0.00294489336959086
"IAH4-2-1378",0.00614557870374893,-0.000770593318211407
"IAH4-2-1390",-0.0436889056708742,-0.00750881250872462
"IAH4-2-1401",-0.00305932697855834,-0.00145063699256096
"IAH4-2-1405",0.00572461184758124,-0.000640508953444645
"IAH4-2-1409",0.00848676769056517,-0.00249106370520478
"IAH4-2-1414",0.0053202460760483,-0.00053838480678214
"IAH4-2-1444",-0.0838865344505342,-0.00451477780348703
"IAH4-2-1460",-0.0413498823645543,-0.00273177511434261
"IAH4-2-1494",0.00539830447604522,-0.000693870893721988
"IAH4-2-1498",0.00999037699689674,-0.00139246283259824
"IAH4-2-1516",0.0053202460760483,-0.000538384806782141
